text,label
I am feeling calm and confident while completing my exams.,Low
I feel positive about my coursework and upcoming tasks.,Low
I feel positive about my academic work and upcoming tasks.,Low
I am frustrated and worried that I cannot keep up with my coursework workload.,High
I feel positive about my academic work and upcoming tasks.,Low
I am satisfied with my progress in assignments and feel relaxed.,Low
I am panicked about completing my assignments and feel anxious constantly.,High
"I am trying to stay on top of my exams, but it feels challenging.",Moderate
I am satisfied with my progress in coursework and feel relaxed.,Low
"I am trying to stay on top of my academic work, but it feels challenging.",Moderate
I am satisfied with my progress in academic work and feel relaxed.,Low
I am panicked about completing my assignments and feel anxious constantly.,High
I feel some pressure while balancing projects with other responsibilities.,Moderate
I am panicked about completing my exams and feel anxious constantly.,High
I am frustrated and worried that I cannot keep up with my assignments workload.,High
I feel a bit stressed about managing my coursework on time.,Moderate
The stress from coursework is affecting my focus and mental well-being.,High
I am panicked about completing my exams and feel anxious constantly.,High
Balancing my coursework along with personal time is going well.,Low
I feel a bit stressed about managing my exams on time.,Moderate
"The exams workload is increasing, causing mild anxiety.",Moderate
The stress from academic work is affecting my focus and mental well-being.,High
I am feeling calm and confident while completing my assignments.,Low
I am panicked about completing my academic work and feel anxious constantly.,High
I feel overwhelmed by my coursework and struggle to cope with deadlines.,High
I am frustrated and worried that I cannot keep up with my coursework workload.,High
I feel positive about my academic work and upcoming tasks.,Low
The stress from academic work is affecting my focus and mental well-being.,High
"The exams workload is increasing, causing mild anxiety.",Moderate
Managing my assignments feels impossible and I am extremely stressed.,High
Sometimes I worry about finishing my academic work before deadlines.,Moderate
"I am trying to stay on top of my coursework, but it feels challenging.",Moderate
I am panicked about completing my academic work and feel anxious constantly.,High
"The academic work workload is increasing, causing mild anxiety.",Moderate
"This week, I managed my academic work smoothly without any stress.",Low
Managing my projects feels impossible and I am extremely stressed.,High
I am panicked about completing my exams and feel anxious constantly.,High
I feel some pressure while balancing coursework with other responsibilities.,Moderate
I feel some pressure while balancing projects with other responsibilities.,Moderate
Managing my assignments feels impossible and I am extremely stressed.,High
I am frustrated and worried that I cannot keep up with my exams workload.,High
I feel some pressure while balancing projects with other responsibilities.,Moderate
"I am trying to stay on top of my academic work, but it feels challenging.",Moderate
"This week, I managed my projects smoothly without any stress.",Low
I am satisfied with my progress in projects and feel relaxed.,Low
I am satisfied with my progress in assignments and feel relaxed.,Low
I am feeling calm and confident while completing my exams.,Low
"I am trying to stay on top of my exams, but it feels challenging.",Moderate
Balancing my assignments along with personal time is going well.,Low
I feel overwhelmed by my exams and struggle to cope with deadlines.,High
I am satisfied with my progress in projects and feel relaxed.,Low
The stress from academic work is affecting my focus and mental well-being.,High
I am panicked about completing my assignments and feel anxious constantly.,High
I am panicked about completing my projects and feel anxious constantly.,High
I feel overwhelmed by my exams and struggle to cope with deadlines.,High
Balancing my coursework along with personal time is going well.,Low
I am feeling calm and confident while completing my coursework.,Low
I feel a bit stressed about managing my projects on time.,Moderate
I am panicked about completing my exams and feel anxious constantly.,High
The stress from assignments is affecting my focus and mental well-being.,High
"The exams workload is increasing, causing mild anxiety.",Moderate
Balancing my academic work along with personal time is going well.,Low
The stress from projects is affecting my focus and mental well-being.,High
I feel positive about my exams and upcoming tasks.,Low
Managing my exams feels impossible and I am extremely stressed.,High
I feel positive about my projects and upcoming tasks.,Low
Managing my assignments feels impossible and I am extremely stressed.,High
I feel some pressure while balancing academic work with other responsibilities.,Moderate
Managing my projects feels impossible and I am extremely stressed.,High
"The assignments workload is increasing, causing mild anxiety.",Moderate
I am panicked about completing my coursework and feel anxious constantly.,High
I am frustrated and worried that I cannot keep up with my assignments workload.,High
I feel overwhelmed by my assignments and struggle to cope with deadlines.,High
I am panicked about completing my coursework and feel anxious constantly.,High
I am frustrated and worried that I cannot keep up with my projects workload.,High
The stress from assignments is affecting my focus and mental well-being.,High
I feel positive about my exams and upcoming tasks.,Low
I am satisfied with my progress in projects and feel relaxed.,Low
"This week, I managed my exams smoothly without any stress.",Low
